"","Ticker","SEC_Company_ID"
"1027","ALG",897077
"1029","TISI",318833
"1030","A",1090872
"1031","IOSP",1054905
"1032","REED",1140215
"1037","SEE",1012100
"1039","EDR",1302343
"1040","BTN",946454
"1041","TRNS",99302
"1042","FLS",30625
"1043","TDY",1094285
"1044","CBZ",944148
"1045","LXU",60714
"1046","BANF",760498
"1047","EXTR",1078271
"1048","SAIA",1177702
"1049","AUTO",1023364
"1050","RAVN",82166
"1051","RKDA",1469443
"1053","CRCM",1412270
"1063","MOFG",1412665
"1066","CSBB",880417
"1069","NEO",1077183
"1076","EFX",33185
"1077","FDEF",946647
"1078","EGN",277595
"1079","AXL",1062231
"1080","OAKS",1547546
"1081","GFF",50725
"1082","NYT",71691
"1085","MNRO",876427
"1089","HOG",793952
"1090","SYNL",95953
"1095","MNK",1567892
"1098","CUB",26076
"1100","P",1230276
"1101","KBH",795266
"1104","ONB",707179
"1105","JAZZ",1232524
"1108","NSA",1618563
"1109","SSTK",1549346
"1112","CPB",16732
"1114","ZOES",1594879
"1115","WAIR",1378718
"1118","TTC",737758
"1119","CDTX",1610618
"1120","VSI",1360530
"1123","SFNC",90498
"1125","JYNT",1612630
"1127","XOMA",791908
"1136","MKC",63754
"1142","GRBK",1373670
"1144","CMI",26172
"1147","VRML",926617
"1154","CAPL",1538849
"1155","JCAP",1622353
"1160","MMS",1032220
"1162","VIRT",1592386
"1165","EAT",703351
"1166","PMBC",1109546
"1168","SEDG",1419612
"1170","PEI",77281
"1172","NVDA",1045810
"1175","NSP",1000753
"1176","ADRO",1435049
"1177","CTG",23111
"1178","OCFC",1004702
"1179","LH",920148
"1186","OSIR",1360886
"1187","SUM",1621563
"1192","GARS",1509892
"1197","APPS",317788
"1202","LBY",902274
"1204","WVFC",910679
"1205","CTXS",877890
"1206","OMN",1090061
"1207","TWIN",100378
"1209","UQM",315449
"1211","RCII",933036
"1214","STBA",719220
"1215","CNMD",816956
"1216","CUR",1357459
"1217","MRGE",944765
"1218","SSPC",1062273
"1227","FNLC",765207
"1232","NANO",704532
"1234","VIAV",912093
"1235","MO",764180
"1236","CKH",859598
"1237","FMBH",700565
"1238","PFPT",1212458
"1239","FLKS",1615219
"1240","RNR",913144
"1241","RESI",1555039
"1244","GIS",40704
"1245","ATHN",1131096
"1248","STLY",797465
"1249","TZOO",1133311
"1250","SPR",1364885
"1251","JBLU",1158463
"1253","FCN",887936
"1255","ASNA",1498301
"1256","LE",799288
"1260","CAL",14707
"1261","EQIX",1101239
"1263","FLO",1128928
"1265","HA",1172222
"1267","SGEN",1060736
"1269","SONA",1325670
"1274","AMRC",1488139
"1275","IEC",49728
"1279","JOB",40570
"1286","TMST",1598428
"1287","TNAV",1474439
"1288","ISRG",1035267
"1291","BG",1144519
"1296","ALXN",899866
"1300","INOV",1619954
"1307","BLL",9389
"1308","REXX",1397516
"1312","HTZ",1657853
"1313","HRI",1364479
"1314","FLL",891482
"1315","EMES",1555177
"1316","SEAC",1019671
"1318","CCF",830524
"1321","FBK",1649749
"1322","SFBS",1430723
"1324","PNFP",1115055
"1325","FIS",1136893
